"CUSTOMER_CODE","INVOICE_CODE","AMOUNT","DATE"
"CUST0000047896","IN0861897","195.49","17-Apr-2021"
"CUST0000075856","IN0211361","529.67","29-Dec-2021"
"CUST0000049282","IN0872918","65.45","03-Apr-2021"
"CUST0000074157","IN0581215","25.21","17-Jun-2021"
"CUST0000064370","IN0163238","350.74","22-May-2021"
"CUST0000052904","IN0951644","327.47","10-Jul-2021"
"CUST0000030135","IN0250563","156.49","12-Aug-2021"
"CUST0000040013","IN0775430","595.54","24-Dec-2021"
"CUST0000040168","IN0876525","33.82","27-Jun-2021"
"CUST0000021406","IN0770214","178.14","14-May-2021"
"CUST0000024189","IN0428813","463.43","23-Oct-2021"
"CUST0000073963","IN0498784","344.28","25-Jul-2021"
"CUST0000045738","IN0115904","441.89","15-Sep-2021"
"CUST0000081725","IN0270707","409.37","04-Jan-2021"
"CUST0000069585","IN0290098","246.68","06-Jan-2021"
"CUST0000020692","IN0094408","71.66","04-Sep-2021"
"CUST0000068900","IN0544895","26.91","27-Feb-2021"
"CUST0000015633","IN0608227","378.0","04-Jul-2021"
"CUST0000091981","IN0073026","226.71","26-Sep-2021"
"CUST0000002455","IN0640292","298.35","27-Jul-2021"
"CUST0000040507","IN0223648","5.24","26-May-2021"
"CUST0000055743","IN0318668","186.2","19-Sep-2021"
"CUST0000035754","IN0138156","35.23","01-Jul-2021"
"CUST0000014515","IN0387712","93.6","08-Jan-2021"
"CUST0000094634","IN0278972","206.74","17-Nov-2021"
"CUST0000001098","IN0704822","11.28","06-May-2021"
"CUST0000079538","IN0225066","2.41","28-Feb-2021"
"CUST0000043120","IN0496774","25.84","22-Feb-2021"
"CUST0000024863","IN0956006","371.2","24-Dec-2021"
"CUST0000023257","IN0933933","277.39","14-Jun-2021"
"CUST0000068343","IN0027025","6.95","15-Mar-2021"
"CUST0000082637","IN0974119","211.49","23-Jun-2021"
"CUST0000028577","IN0701437","507.28","04-Nov-2021"
"CUST0000026330","IN0594713","399.92","11-Sep-2021"
"CUST0000007189","IN0230436","16.51","31-Aug-2021"
"CUST0000078405","IN0731727","328.1","19-Apr-2021"
"CUST0000033619","IN0548192","176.5","25-May-2021"
"CUST0000078026","IN0435915","252.97","04-Nov-2021"
"CUST0000080870","IN0716942","197.44","29-Dec-2021"
"CUST0000040692","IN0325328","266.89","30-Oct-2021"
"CUST0000023257","IN0955992","233.6","12-Apr-2021"
"CUST0000080030","IN0201556","157.46","19-Mar-2021"
"CUST0000032000","IN0311088","15.11","16-Apr-2021"
"CUST0000001707","IN0314791","182.02","08-Oct-2021"
"CUST0000023154","IN0964679","503.34","01-Jun-2021"
"CUST0000096686","IN0877302","28.91","10-Mar-2021"
"CUST0000015995","IN0886071","545.6","11-Apr-2021"
"CUST0000013063","IN0145535","647.03","11-May-2021"
"CUST0000050754","IN0384011","169.16","01-Sep-2021"
"CUST0000018367","IN0433621","317.72","17-Nov-2021"
"CUST0000057439","IN0637216","124.74","01-Mar-2021"
"CUST0000082520","IN0572779","153.01","05-Feb-2021"
"CUST0000005170","IN0961204","66.3","08-Aug-2021"
"CUST0000035754","IN0287052","0.12","11-Jun-2021"
"CUST0000090225","IN0584306","22.43","26-Jul-2021"
"CUST0000062846","IN0979441","114.84","19-Feb-2021"
"CUST0000062029","IN0154770","296.23","13-Aug-2021"
"CUST0000084144","IN0112905","395.8","19-Oct-2021"
"CUST0000079976","IN0683849","199.39","15-Aug-2021"
"CUST0000046335","IN0061576","21.94","10-Apr-2021"
"CUST0000087185","IN0842030","85.64","27-Feb-2021"
"CUST0000044003","IN0706722","16.97","09-Jul-2021"
"CUST0000091919","IN0945671","174.22","13-Oct-2021"
"CUST0000056877","IN0637176","153.07","04-Dec-2021"
"CUST0000087146","IN0711772","200.36","28-Nov-2021"
"CUST0000095991","IN0933724","22.5","06-Oct-2021"
"CUST0000020217","IN0144539","540.15","22-Jan-2021"
"CUST0000013338","IN0104310","254.11","25-Jun-2021"
"CUST0000054051","IN0787115","385.56","28-Jun-2021"
"CUST0000009980","IN0079614","15.85","18-Aug-2021"
"CUST0000064176","IN0220176","307.13","20-Sep-2021"
"CUST0000075499","IN0188615","118.46","22-Feb-2021"
"CUST0000095324","IN0577082","31.95","29-Nov-2021"
"CUST0000048147","IN0066381","160.39","12-Mar-2021"
"CUST0000027133","IN0516160","88.72","12-Oct-2021"
"CUST0000098617","IN0953739","232.18","26-Sep-2021"
"CUST0000095991","IN0256692","112.12","08-Dec-2021"
"CUST0000055743","IN0722444","10.52","04-Jun-2021"
"CUST0000057058","IN0687347","437.53","29-Feb-2021"
"CUST0000037679","IN0498417","400.01","23-Oct-2021"
"CUST0000042274","IN0314247","2.12","27-Jun-2021"
"CUST0000089756","IN0466374","222.3","19-Aug-2021"
"CUST0000050189","IN0236439","217.42","13-Jan-2021"
"CUST0000049762","IN0925960","179.21","08-Dec-2021"
"CUST0000039468","IN0262764","390.86","29-Dec-2021"
"CUST0000027149","IN0753604","243.67","07-Apr-2021"
"CUST0000021064","IN0408921","623.65","20-Jul-2021"
"CUST0000059808","IN0985937","7.82","18-Jul-2021"
"CUST0000068643","IN0891171","15.11","11-Dec-2021"
"CUST0000039468","IN0297132","444.89","23-Dec-2021"
"CUST0000043736","IN0815384","320.78","18-Dec-2021"
"CUST0000074467","IN0921109","455.2","14-Jan-2021"
"CUST0000063308","IN0151143","14.68","13-Jul-2021"
"CUST0000061298","IN0206900","155.7","17-Aug-2021"
"CUST0000039468","IN0017211","53.0","11-Apr-2021"
"CUST0000044249","IN0014565","227.08","16-Dec-2021"
"CUST0000080297","IN0143067","170.63","06-Jun-2021"
"CUST0000079056","IN0562679","253.93","05-Mar-2021"
"CUST0000052001","IN0860997","280.8","04-Aug-2021"
"CUST0000018596","IN0584965","177.34","06-Nov-2021"
"CUST0000040013","IN0102571","43.31","02-Feb-2021"
"CUST0000009476","IN0045372","432.35","26-Oct-2021"
"CUST0000065432","IN0447530","84.34","02-Dec-2021"
"CUST0000007304","IN0893732","174.53","07-Aug-2021"
"CUST0000083078","IN0394188","255.19","26-Sep-2021"
"CUST0000003601","IN0654140","18.43","20-Oct-2021"
"CUST0000068843","IN0318493","643.22","23-Jan-2021"
"CUST0000089220","IN0604771","440.19","22-Jun-2021"
"CUST0000006581","IN0014486","176.47","11-Apr-2021"
"CUST0000013725","IN0122391","3.04","25-Nov-2021"
"CUST0000023591","IN0817081","298.74","18-Dec-2021"
"CUST0000061251","IN0854432","8.28","23-Nov-2021"
"CUST0000095957","IN0311239","35.25","25-Nov-2021"
"CUST0000022867","IN0639922","230.72","05-Nov-2021"
"CUST0000048903","IN0637657","20.88","26-Apr-2021"
"CUST0000030467","IN0805181","60.94","13-Nov-2021"
"CUST0000060284","IN0375749","308.34","06-Dec-2021"
"CUST0000016697","IN0858769","99.94","30-Dec-2021"
"CUST0000067093","IN0179345","111.95","21-Mar-2021"
"CUST0000087560","IN0360222","63.31","23-Mar-2021"
"CUST0000060284","IN0271110","30.2","29-Aug-2021"
"CUST0000062583","IN0509052","8.15","28-Dec-2021"
"CUST0000073505","IN0480352","586.57","23-Apr-2021"
"CUST0000054073","IN0404390","60.48","26-Oct-2021"
"CUST0000022375","IN0105353","614.9","27-Sep-2021"
"CUST0000021192","IN0851459","887.36","18-Apr-2021"
"CUST0000075080","IN0980726","374.98","10-Apr-2021"
"CUST0000006880","IN0719955","175.61","10-Apr-2021"
"CUST0000095957","IN0276523","20.22","20-Aug-2021"
"CUST0000057058","IN0763173","627.23","23-Apr-2021"
"CUST0000099288","IN0442652","61.63","11-Mar-2021"
"CUST0000044249","IN0386856","337.54","08-Apr-2021"
"CUST0000073206","IN0090079","186.11","13-Sep-2021"
"CUST0000087508","IN0626138","612.36","18-Oct-2021"
"CUST0000030499","IN0333962","126.75","11-Jul-2021"
"CUST0000014174","IN0470945","49.95","19-Feb-2021"
"CUST0000000199","IN0404609","525.45","05-Sep-2021"
"CUST0000097506","IN0760948","594.62","23-Feb-2021"
"CUST0000062665","IN0668586","5.03","20-Jun-2021"
"CUST0000062785","IN0559105","142.88","13-Sep-2021"
"CUST0000092994","IN0324037","145.76","15-Aug-2021"
"CUST0000037021","IN0765380","24.13","11-May-2021"
"CUST0000060434","IN0206420","384.53","02-Oct-2021"
"CUST0000028145","IN0903438","691.4","16-Oct-2021"
"CUST0000016697","IN0342248","184.76","28-Aug-2021"
"CUST0000023643","IN0792382","118.32","07-Dec-2021"
"CUST0000028087","IN0038711","91.16","06-Jun-2021"
"CUST0000070485","IN0461967","317.73","11-Jul-2021"
"CUST0000051431","IN0289765","17.47","26-Dec-2021"
"CUST0000043597","IN0892183","131.62","01-Jul-2021"
"CUST0000099288","IN0390305","254.77","29-Jul-2021"
"CUST0000015869","IN0798682","328.66","07-Jun-2021"
"CUST0000013083","IN0539140","312.23","24-Oct-2021"
"CUST0000074499","IN0526312","15.81","20-Feb-2021"
"CUST0000043349","IN0064649","154.05","26-Dec-2021"
"CUST0000001575","IN0408217","335.82","21-Mar-2021"
"CUST0000051432","IN0682911","17.72","27-Oct-2021"
"CUST0000081225","IN0977026","248.9","17-Sep-2021"
"CUST0000017859","IN0064469","220.15","02-Jun-2021"
"CUST0000002575","IN0874847","11.4","01-Feb-2021"
"CUST0000091168","IN0397718","549.5","27-Sep-2021"
"CUST0000026114","IN0000797","207.14","14-May-2021"
"CUST0000063823","IN0927161","233.15","06-Apr-2021"
"CUST0000046041","IN0892892","213.95","15-Sep-2021"
"CUST0000058351","IN0391163","486.13","19-Nov-2021"
"CUST0000008503","IN0840789","727.91","13-Jul-2021"
"CUST0000001367","IN0756847","257.8","10-Oct-2021"
"CUST0000080885","IN0961692","75.56","21-Sep-2021"
"CUST0000026165","IN0644090","436.97","23-Apr-2021"
"CUST0000007638","IN0450207","12.19","13-Aug-2021"
"CUST0000039354","IN0405413","26.91","20-Sep-2021"
"CUST0000020907","IN0270209","247.97","09-Feb-2021"
"CUST0000022375","IN0626693","774.01","13-May-2021"
"CUST0000080870","IN0222586","327.6","16-Aug-2021"
"CUST0000052167","IN0899143","137.59","09-Aug-2021"
"CUST0000085521","IN0387022","212.44","15-Nov-2021"
"CUST0000041024","IN0824899","217.42","13-Feb-2021"
"CUST0000076798","IN0392021","234.36","13-Apr-2021"
"CUST0000091530","IN0462628","467.74","29-Jan-2021"
"CUST0000073219","IN0794751","200.52","23-Nov-2021"
"CUST0000015196","IN0480485","19.01","21-Nov-2021"
"CUST0000008897","IN0809167","212.73","06-Mar-2021"
"CUST0000060434","IN0116209","319.43","13-Mar-2021"
"CUST0000008503","IN0701341","48.28","22-Jul-2021"
"CUST0000068062","IN0755015","290.19","23-Aug-2021"
"CUST0000011647","IN0640325","255.18","12-Sep-2021"
"CUST0000040605","IN0413492","216.36","03-Mar-2021"
"CUST0000047378","IN0159357","244.24","09-Aug-2021"
"CUST0000049762","IN0760041","115.92","31-Oct-2021"
"CUST0000088080","IN0473352","149.31","13-Sep-2021"
"CUST0000030886","IN0412902","17.52","30-Apr-2021"
"CUST0000019775","IN0411886","49.17","15-Sep-2021"
