"INVOICE_CODE","ITEM_CODE","AMOUNT","QUANTITY"
"IN0861897","PUCCHO","21.94","45"
"IN0211361","POCKY","6.49","156"
"IN0872918","POCKY","20.09","483"
"IN0581215","POCKY","5.28","127"
"IN0163238","MEIJI","275.18","364"
"IN0951644","PUCCHO","169.16","347"
"IN0250563","PUCCHO","156.49","321"
"IN0775430","POCKY","2.83","68"
"IN0876525","POCKY","18.8","452"
"IN0770214","PUCCHO","167.7","344"
"IN0428813","MEIJI","157.25","208"
"IN0498784","MEIJI","21.92","29"
"IN0115904","MEIJI","273.67","362"
"IN0270707","POCKY","13.81","332"
"IN0290098","PUCCHO","24.38","50"
"IN0094408","PUCCHO","71.66","147"
"IN0544895","PUCCHO","19.01","39"
"IN0608227","MEIJI","378.0","500"
"IN0073026","POCKY","20.01","481"
"IN0640292","PUCCHO","133.57","274"
"IN0223648","POCKY","5.24","126"
"IN0318668","POCKY","4.33","104"
"IN0138156","POCKY","18.3","440"
"IN0387712","PUCCHO","93.6","192"
"IN0278972","POCKY","7.36","177"
"IN0704822","POCKY","10.61","255"
"IN0225066","POCKY","2.41","58"
"IN0496774","PUCCHO","25.84","53"
"IN0956006","MEIJI","371.2","491"
"IN0933933","PUCCHO","78.49","161"
"IN0027025","POCKY","6.95","167"
"IN0974119","POCKY","15.02","361"
"IN0701437","MEIJI","217.73","288"
"IN0594713","MEIJI","290.3","384"
"IN0230436","POCKY","15.89","382"
"IN0731727","MEIJI","328.1","434"
"IN0548192","MEIJI","164.81","218"
"IN0435915","POCKY","3.91","94"
"IN0716942","PUCCHO","39.0","80"
"IN0325328","POCKY","20.59","495"
"IN0955992","MEIJI","233.6","309"
"IN0201556","PUCCHO","157.46","323"
"IN0311088","PUCCHO","15.11","31"
"IN0314791","PUCCHO","59.48","122"
"IN0964679","POCKY","3.0","72"
"IN0877302","POCKY","15.06","362"
"IN0886071","PUCCHO","170.62","350"
"IN0145535","PUCCHO","141.86","291"
"IN0384011","PUCCHO","169.16","347"
"IN0433621","POCKY","14.56","350"
"IN0637216","MEIJI","124.74","165"
"IN0572779","PUCCHO","43.39","89"
"IN0961204","PUCCHO","66.3","136"
"IN0287052","POCKY","0.12","3"
"IN0584306","PUCCHO","22.43","46"
"IN0979441","PUCCHO","106.27","218"
"IN0154770","PUCCHO","241.8","496"
"IN0112905","PUCCHO","170.14","349"
"IN0683849","PUCCHO","199.39","409"
"IN0061576","PUCCHO","21.94","45"
"IN0842030","PUCCHO","65.81","135"
"IN0706722","POCKY","15.18","365"
"IN0945671","POCKY","16.27","391"
"IN0637176","PUCCHO","153.07","314"
"IN0711772","PUCCHO","200.36","411"
"IN0933724","POCKY","9.48","228"
"IN0144539","PUCCHO","239.36","491"
"IN0104310","MEIJI","152.71","202"
"IN0787115","MEIJI","275.18","364"
"IN0079614","POCKY","15.85","381"
"IN0220176","PUCCHO","238.39","489"
"IN0188615","PUCCHO","118.46","243"
"IN0577082","POCKY","18.55","446"
"IN0066381","PUCCHO","39.49","81"
"IN0516160","PUCCHO","88.72","182"
"IN0953739","MEIJI","115.67","153"
"IN0256692","PUCCHO","112.12","230"
"IN0722444","POCKY","10.52","253"
"IN0687347","PUCCHO","145.28","298"
"IN0498417","MEIJI","194.29","257"
"IN0314247","POCKY","2.12","51"
"IN0466374","PUCCHO","103.35","212"
"IN0236439","PUCCHO","217.42","446"
"IN0925960","MEIJI","61.24","81"
"IN0262764","MEIJI","198.07","262"
"IN0753604","POCKY","19.14","460"
"IN0408921","MEIJI","44.6","59"
"IN0985937","POCKY","7.82","188"
"IN0891171","PUCCHO","15.11","31"
"IN0297132","PUCCHO","205.24","421"
"IN0815384","PUCCHO","146.25","300"
"IN0921109","POCKY","2.54","61"
"IN0151143","POCKY","9.9","238"
"IN0206900","PUCCHO","154.54","317"
"IN0017211","MEIJI","48.38","64"
"IN0014565","MEIJI","202.61","268"
"IN0143067","PUCCHO","127.24","261"
"IN0562679","PUCCHO","58.99","121"
"IN0860997","PUCCHO","149.66","307"
"IN0584965","POCKY","19.88","478"
"IN0102571","POCKY","1.37","33"
"IN0045372","MEIJI","176.9","234"
"IN0447530","PUCCHO","84.34","173"
"IN0893732","PUCCHO","174.53","358"
"IN0394188","MEIJI","164.81","218"
"IN0654140","POCKY","18.43","443"
"IN0318493","MEIJI","187.49","248"
"IN0604771","PUCCHO","187.69","385"
"IN0014486","PUCCHO","176.47","362"
"IN0122391","POCKY","3.04","73"
"IN0817081","PUCCHO","95.55","196"
"IN0854432","POCKY","8.28","199"
"IN0311239","POCKY","20.13","484"
"IN0639922","PUCCHO","216.45","444"
"IN0637657","POCKY","8.61","207"
"IN0805181","PUCCHO","60.94","125"
"IN0375749","POCKY","8.53","205"
"IN0858769","PUCCHO","99.94","205"
"IN0179345","MEIJI","91.48","121"
"IN0360222","POCKY","17.97","432"
"IN0271110","POCKY","13.23","318"
"IN0509052","POCKY","8.15","196"
"IN0480352","POCKY","18.6","447"
"IN0404390","MEIJI","60.48","80"
"IN0105353","POCKY","8.07","194"
"IN0851459","POCKY","19.47","468"
"IN0980726","MEIJI","374.98","496"
"IN0719955","MEIJI","164.05","217"
"IN0276523","POCKY","20.22","486"
"IN0763173","PUCCHO","154.54","317"
"IN0442652","POCKY","10.98","264"
"IN0386856","POCKY","10.19","245"
"IN0090079","POCKY","3.99","96"
"IN0626138","MEIJI","374.98","496"
"IN0333962","PUCCHO","126.75","260"
"IN0470945","POCKY","16.31","392"
"IN0404609","MEIJI","377.24","499"
"IN0760948","PUCCHO","243.26","499"
"IN0668586","POCKY","5.03","121"
"IN0559105","MEIJI","142.88","189"
"IN0324037","PUCCHO","145.76","299"
"IN0765380","MEIJI","7.56","10"
"IN0206420","PUCCHO","172.09","353"
"IN0903438","POCKY","18.89","454"
"IN0342248","PUCCHO","184.76","379"
"IN0792382","MEIJI","97.52","129"
"IN0038711","PUCCHO","91.16","187"
"IN0461967","MEIJI","258.55","342"
"IN0289765","POCKY","12.69","305"
"IN0892183","PUCCHO","86.77","178"
"IN0390305","MEIJI","254.77","337"
"IN0798682","MEIJI","321.3","425"
"IN0539140","MEIJI","312.23","413"
"IN0526312","POCKY","15.81","380"
"IN0064649","PUCCHO","154.05","316"
"IN0408217","PUCCHO","161.36","331"
"IN0682911","POCKY","17.72","426"
"IN0977026","PUCCHO","228.64","469"
"IN0064469","POCKY","18.3","440"
"IN0874847","POCKY","11.4","274"
"IN0397718","PUCCHO","122.36","251"
"IN0000797","MEIJI","207.14","274"
"IN0927161","MEIJI","100.55","133"
"IN0892892","MEIJI","213.95","283"
"IN0391163","POCKY","12.98","312"
"IN0840789","PUCCHO","152.59","313"
"IN0756847","MEIJI","257.8","341"
"IN0961692","PUCCHO","75.56","155"
"IN0644090","MEIJI","371.95","492"
"IN0450207","POCKY","12.19","293"
"IN0405413","POCKY","14.68","353"
"IN0270209","MEIJI","247.97","328"
"IN0626693","MEIJI","378.0","500"
"IN0222586","PUCCHO","215.47","442"
"IN0899143","MEIJI","137.59","182"
"IN0387022","MEIJI","133.06","176"
"IN0824899","PUCCHO","217.42","446"
"IN0392021","MEIJI","234.36","310"
"IN0462628","POCKY","7.86","189"
"IN0794751","POCKY","3.08","74"
"IN0480485","PUCCHO","19.01","39"
"IN0809167","POCKY","19.68","473"
"IN0116209","MEIJI","190.51","252"
"IN0701341","PUCCHO","28.27","58"
"IN0755015","POCKY","16.52","397"
"IN0640325","POCKY","17.8","428"
"IN0413492","POCKY","6.95","167"
"IN0159357","PUCCHO","244.24","501"
"IN0760041","POCKY","13.1","315"
"IN0473352","POCKY","4.91","118"
"IN0412902","POCKY","16.06","386"
"IN0411886","POCKY","13.64","328"
"IN0889419","MEIJI","26.46","35"
"IN0046914","POCKY","12.73","306"
"IN0901549","PUCCHO","182.81","375"
"IN0699958","MEIJI","203.36","269"
"IN0733563","PUCCHO","97.5","200"
"IN0511699","POCKY","8.78","211"
"IN0506541","MEIJI","175.39","232"
"IN0070021","PUCCHO","79.95","164"
"IN0902569","MEIJI","52.92","70"
"IN0901365","POCKY","12.85","309"
"IN0762034","MEIJI","113.4","150"
"IN0681194","MEIJI","30.24","40"
"IN0426280","MEIJI","274.43","363"
"IN0721972","PUCCHO","216.45","444"
"IN0828286","MEIJI","243.43","322"
"IN0001396","PUCCHO","176.47","362"
"IN0133276","MEIJI","62.75","83"
"IN0433079","POCKY","4.08","98"
"IN0819045","MEIJI","352.3","466"
"IN0704105","MEIJI","137.59","182"
"IN0057960","POCKY","15.93","383"
"IN0742498","POCKY","15.93","383"
"IN0842320","PUCCHO","228.15","468"
"IN0427118","POCKY","8.86","213"
"IN0733031","MEIJI","340.96","451"
"IN0751968","MEIJI","294.08","389"
"IN0493048","PUCCHO","57.52","118"
"IN0606993","POCKY","9.61","231"
"IN0027764","POCKY","3.24","78"
"IN0740575","MEIJI","275.94","365"
"IN0424471","MEIJI","185.22","245"
"IN0507375","POCKY","6.2","149"
"IN0865362","MEIJI","43.85","58"
"IN0754775","POCKY","17.26","415"
"IN0568785","PUCCHO","76.54","157"
"IN0977026","POCKY","13.06","314"
"IN0166179","POCKY","18.26","439"
"IN0199646","POCKY","7.7","185"
"IN0275720","POCKY","6.78","163"
"IN0142615","POCKY","7.82","188"
"IN0805201","PUCCHO","38.02","78"
"IN0184031","MEIJI","349.27","462"
"IN0733841","POCKY","12.56","302"
"IN0831323","PUCCHO","24.86","51"
"IN0072834","PUCCHO","151.61","311"
"IN0257867","MEIJI","143.64","190"
"IN0562345","POCKY","10.65","256"
"IN0941014","POCKY","17.1","411"
"IN0275206","POCKY","17.18","413"
"IN0104888","MEIJI","248.72","329"
"IN0271757","POCKY","1.46","35"
"IN0848489","PUCCHO","39.98","82"
"IN0693510","MEIJI","231.34","306"
"IN0558406","PUCCHO","30.71","63"
"IN0722714","PUCCHO","9.75","20"
"IN0497575","MEIJI","327.35","433"
"IN0921408","MEIJI","46.87","62"
"IN0193940","POCKY","7.45","179"
"IN0198507","POCKY","20.76","499"
"IN0452317","POCKY","7.74","186"
"IN0092051","POCKY","14.19","341"
"IN0843968","MEIJI","216.22","286"
"IN0316679","MEIJI","358.34","474"
"IN0161180","MEIJI","65.77","87"
"IN0245036","POCKY","10.36","249"
"IN0634484","POCKY","0.37","9"
